epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,557.376,0.69575,0.41328,0.8413,0.91386,0.83148,0.86486,0.59502,0.84042,0.51105,0.87416,0.000456863,0.000456863,0.000456863
43,571.75,0.70012,0.4166,0.84322,0.88522,0.83121,0.85535,0.59802,0.80204,0.47993,0.86502,0.00044925,0.00044925,0.00044925
44,584.482,0.68574,0.39914,0.83781,0.83377,0.89393,0.86584,0.61463,0.78735,0.47895,0.86255,0.000441637,0.000441637,0.000441637
45,599.554,0.69683,0.39311,0.8375,0.9243,0.81261,0.88648,0.62542,0.7941,0.48542,0.86177,0.000434024,0.000434024,0.000434024
46,611.059,0.68496,0.3907,0.83588,0.86411,0.81813,0.86525,0.59522,0.79682,0.49852,0.86243,0.000426411,0.000426411,0.000426411
47,622.75,0.69039,0.3917,0.83855,0.9324,0.8395,0.89167,0.62052,0.79345,0.471,0.86376,0.000418797,0.000418797,0.000418797
48,634.569,0.69036,0.39645,0.84593,0.90181,0.87469,0.87978,0.59367,0.80743,0.4639,0.8711,0.000411184,0.000411184,0.000411184
49,648.411,0.66436,0.38783,0.83401,0.90024,0.88335,0.90363,0.62107,0.78722,0.4703,0.86452,0.000403571,0.000403571,0.000403571
50,661.708,0.6794,0.39055,0.83356,0.91123,0.88779,0.91933,0.63546,0.80568,0.47189,0.86518,0.000395958,0.000395958,0.000395958
51,673.762,0.6605,0.38242,0.83475,0.92741,0.87498,0.90519,0.62587,0.80075,0.46873,0.86914,0.000388345,0.000388345,0.000388345
52,685.192,0.68263,0.39638,0.84142,0.92647,0.83269,0.90021,0.63488,0.78897,0.49472,0.86374,0.000380732,0.000380732,0.000380732
53,696.765,0.65532,0.37434,0.82955,0.90462,0.88982,0.91912,0.63717,0.78683,0.47889,0.86137,0.000373119,0.000373119,0.000373119
54,708.533,0.65682,0.37575,0.83059,0.9279,0.85787,0.90715,0.63711,0.78855,0.4724,0.86105,0.000365506,0.000365506,0.000365506
55,719.748,0.64759,0.36516,0.83069,0.9315,0.90109,0.92789,0.62725,0.79887,0.46877,0.86163,0.000357893,0.000357893,0.000357893
56,731.167,0.66656,0.37796,0.83267,0.92062,0.88344,0.90856,0.63886,0.79302,0.47147,0.8648,0.00035028,0.00035028,0.00035028
57,742.578,0.64593,0.37113,0.83509,0.92487,0.8795,0.89738,0.63662,0.78744,0.4729,0.86064,0.000342666,0.000342666,0.000342666
58,754.156,0.65416,0.36809,0.83026,0.94241,0.87565,0.91004,0.64242,0.77352,0.4529,0.859,0.000335053,0.000335053,0.000335053
59,768.874,0.66081,0.3676,0.83176,0.92805,0.86253,0.89207,0.63736,0.7882,0.44703,0.86424,0.00032744,0.00032744,0.00032744
60,784.299,0.64103,0.36359,0.82694,0.88175,0.88277,0.88649,0.62848,0.79105,0.46832,0.86507,0.000319827,0.000319827,0.000319827
61,800.276,0.63236,0.35761,0.82374,0.94626,0.87206,0.89973,0.63446,0.7751,0.4454,0.86432,0.000312214,0.000312214,0.000312214
62,812.414,0.6185,0.35069,0.82838,0.93892,0.88761,0.91596,0.64299,0.76923,0.45078,0.85618,0.000304601,0.000304601,0.000304601
63,826.181,0.6147,0.34798,0.82155,0.93454,0.891,0.918,0.63411,0.77497,0.44621,0.8592,0.000296988,0.000296988,0.000296988
64,841.186,0.61108,0.35032,0.82622,0.91748,0.87297,0.90042,0.64159,0.79875,0.45727,0.87466,0.000289375,0.000289375,0.000289375
65,855.774,0.60569,0.34681,0.82329,0.91363,0.87949,0.91806,0.63364,0.78189,0.45588,0.86412,0.000281762,0.000281762,0.000281762
66,867.577,0.61524,0.3455,0.8282,0.93118,0.86975,0.90792,0.64928,0.7577,0.45631,0.85977,0.000274148,0.000274148,0.000274148
67,879.284,0.61759,0.34635,0.82479,0.92411,0.88885,0.91713,0.64001,0.76742,0.46772,0.85631,0.000266535,0.000266535,0.000266535
68,890.931,0.61825,0.34961,0.82185,0.91638,0.88278,0.91315,0.63586,0.77362,0.47792,0.85908,0.000258922,0.000258922,0.000258922
69,903.136,0.61355,0.34077,0.82739,0.93353,0.87385,0.90255,0.63352,0.75884,0.45263,0.85456,0.000251309,0.000251309,0.000251309
70,914.779,0.58705,0.32979,0.81725,0.92268,0.89536,0.92738,0.64169,0.76799,0.45889,0.85812,0.000243696,0.000243696,0.000243696
71,926.481,0.59392,0.34446,0.821,0.93476,0.88707,0.91889,0.64208,0.76528,0.44472,0.85651,0.000236083,0.000236083,0.000236083
72,939.114,0.60306,0.33883,0.82032,0.90893,0.90325,0.92499,0.63407,0.79332,0.44974,0.86758,0.00022847,0.00022847,0.00022847
73,952.15,0.59981,0.33759,0.82266,0.89898,0.87335,0.88378,0.61775,0.77724,0.46664,0.86499,0.000220857,0.000220857,0.000220857
74,963.891,0.59551,0.33151,0.82302,0.93567,0.89802,0.93057,0.64367,0.78533,0.4504,0.86495,0.000213244,0.000213244,0.000213244
75,978.991,0.57711,0.32317,0.81669,0.87789,0.88791,0.87068,0.62065,0.76692,0.45842,0.8632,0.000205631,0.000205631,0.000205631
76,990.817,0.58434,0.3286,0.82091,0.89275,0.90395,0.92248,0.63914,0.78001,0.44614,0.86334,0.000198018,0.000198018,0.000198018
77,1002.4,0.56657,0.31583,0.81271,0.89188,0.899,0.92056,0.63779,0.76437,0.43428,0.85999,0.000190404,0.000190404,0.000190404
78,1013.95,0.58595,0.31966,0.82499,0.94009,0.87355,0.91838,0.64935,0.76386,0.44022,0.86244,0.000182791,0.000182791,0.000182791
79,1025.97,0.5719,0.31652,0.81414,0.92064,0.91601,0.92218,0.64089,0.7703,0.44366,0.86252,0.000175178,0.000175178,0.000175178
80,1039.83,0.57191,0.31332,0.82094,0.91001,0.89764,0.92023,0.63151,0.7679,0.45299,0.8617,0.000167565,0.000167565,0.000167565
81,1053.36,0.56988,0.31291,0.81414,0.89848,0.89658,0.90076,0.62337,0.76065,0.45092,0.86268,0.000159952,0.000159952,0.000159952
82,1066.25,0.55316,0.31471,0.81062,0.9415,0.90368,0.93508,0.64875,0.77331,0.44776,0.866,0.000152339,0.000152339,0.000152339
83,1079.02,0.55076,0.30804,0.8105,0.94133,0.90157,0.91436,0.63619,0.77259,0.44085,0.8635,0.000144726,0.000144726,0.000144726
84,1091.02,0.54804,0.30541,0.81087,0.91163,0.89157,0.91704,0.64534,0.76743,0.44226,0.86147,0.000137113,0.000137113,0.000137113
